key,en,kor,class,
Title,Web-based Meta-analysis,웹에서 하는 R 메타분석,output,
language,Select Language,언어 선택,Radio,
selectData,1. Select/Upload Data,1. 데이터 선택/업로드,output,
dataTable,2. Edit Data,2. 데이터 편집,output,
EditSE,3. Insert/Edit Structural Equation,3. 구조방정식 편집/입력,output,
analysisOption,4. Analysis/Summary Options,4. 분석/요약 옵션 선택,output,
summaryOption,Summary Options,요약 옵션 선택,output,
plotOption,5. Plot Options,5. 플롯 옵션 선택,output,
leftvar,left var,왼쪽변수선택,Select,
rightvar,right var,오른쪽변수선택,Select,
operator,operator,연산자,Radio,
indepvar,independent variable,독립변수,Select,
mediator,mediator,매개변수,Select,
resvar,dependent variable,종속(반응)변수,Select,
equation,equation,구조식 ,Text,
lefttext,Enter Latent Variable,잠재 변수 입력,Text,
moderating,Mediation Effect Analysis,매개효과분석,Checkbox,
showcor,show correlation,상관관계 보기,Checkbox,
sobel,perform sobel test,sobel검정 시행,Checkbox,
editAnalysis,Edit Analysis Order,R 분석 명령어 편집,Checkbox,
preview,Plot Preview,플롯 미리보기,Checkbox,
showcoef,show coefficient,회귀계수보기,Checkbox,
showMeaInv,show measurement invariance,측정불변성 보기,Checkbox,